,x1,x2,y_true,y_train
17,0.5247564316322378,0.034388521115218396,2.152678426610131,1.9980722386845238
7,0.8661761457749352,0.06505159298527952,2.927507070505709,3.4560681836151668
12,0.8324426408004217,0.09767211400638387,2.9579016236199953,2.619440623467016
18,0.43194501864211576,0.9093204020787821,4.591851243520578,4.75748295922236
15,0.18340450985343382,0.12203823484477883,1.732923724241204,2.1985637837993033
8,0.6011150117432088,0.9488855372533332,5.048886635246418,5.220695780030648
10,0.020584494295802447,0.8083973481164611,3.466361032940988,3.6284030176383855
20,0.6118528947223795,0.662522284353982,4.211272642506705,3.97168552358406
19,0.2912291401980419,0.2587799816000169,2.358798225196135,2.8465707887573144
6,0.05808361216819946,0.17052412368729153,1.6277395953982734,1.3974202099183797
9,0.7080725777960455,0.9656320330745594,5.313041254815769,4.431521177134401
21,0.13949386065204183,0.31171107608941095,2.2141209495723166,2.121291461240408
23,0.3663618432936917,0.5467102793432796,3.3728545246172223,2.774751212576887
22,0.29214464853521815,0.5200680211778108,3.1444933606038687,2.5913258736008546
13,0.21233911067827616,0.6842330265121569,3.477377300893023,3.783215445313457
14,0.18182496720710062,0.4401524937396013,2.6841074156330054,3.199607176880981
4,0.15601864044243652,0.046450412719997725,1.4513885190448663,0.7121275238611526
24,0.45606998421703593,0.18485445552552704,2.466703335010653,2.872966246207752
0,0.3745401188473625,0.7851759613930136,4.104608121873766,4.473841411871471
2,0.7319939418114051,0.5142344384136116,4.0066911988636456,3.9488670576695255
